Brand,Weight_g,Bear_Count,Average_Price_USD
Trolli,150,80,2.28
Surf Sweets,150,10,2.4
Surf Sweets,300,20,3.54
Jelly Belly,250,50,3.02
Albanese,200,100,3.38
SmartSweets,200,30,2.53
SmartSweets,150,80,2.4
SmartSweets,200,40,2.52
Surf Sweets,250,50,3.91
SmartSweets,100,50,2.24
Trolli,150,30,2.49
Black Forest,200,40,2.9
Surf Sweets,150,100,2.16
SmartSweets,250,10,3.56
Jelly Belly,200,80,3.43
Albanese,150,60,2.45
Haribo,200,50,2.57
Albanese,300,20,4.05
Albanese,200,80,3.15
SmartSweets,150,50,2.52
Surf Sweets,150,60,2.94
SmartSweets,200,60,2.82
